Book Name, Genre, Published Year, Edition, Author, Book Front Page URL
"Data Structures and Algorithms", "Computer Science", 2018, "3rd", "Mark Allen Weiss", "https://example.com/dsa_front.jpg"
"Introduction to Algorithms", "Computer Science", 2020, "4th", "Thomas H. Cormen", "https://example.com/intro_algorithms.jpg"
"Operating Systems: Design and Implementation", "Operating Systems", 2019, "2nd", "Andrew S. Tanenbaum", "https://example.com/os_design_implementation.jpg"
"Database Management Systems", "Database", 2017, "5th", "Raghu Ramakrishnan", "https://example.com/dbms_front.jpg"
"Computer Networks", "Computer Science", 2021, "6th", "Andrew S. Tanenbaum", "https://example.com/computer_networks.jpg"
"Discrete Mathematics", "Mathematics", 2016, "1st", "Kenneth H. Rosen", "https://example.com/discrete_math.jpg"
"Data Mining: Concepts and Techniques", "Data Science", 2022, "3rd", "Jiawei Han", "https://example.com/data_mining.jpg"
"Artificial Intelligence: A Modern Approach", "AI", 2018, "4th", "Stuart Russell", "https://example.com/ai_modern_approach.jpg"
"Fundamentals of Database Systems", "Database", 2020, "7th", "Ramez Elmasri", "https://example.com/fundamentals_dbms.jpg"
"Design Patterns: Elements of Reusable Object-Oriented Software", "Software Engineering", 2015, "2nd", "Erich Gamma", "https://example.com/design_patterns.jpg"
Book Name, Genre, Published Year, Edition, Author, Book Front Page URL
"Clean Code", "Software Engineering", 2008, "1st", "Robert C. Martin", "https://example.com/clean_code.jpg"
"The Pragmatic Programmer", "Software Engineering", 2019, "2nd", "Andrew Hunt", "https://example.com/pragmatic_programmer.jpg"
"Head First Java", "Programming", 2022, "3rd", "Kathy Sierra", "https://example.com/head_first_java.jpg"
"Java: The Complete Reference", "Programming", 2021, "11th", "Herbert Schildt", "https://example.com/java_complete_reference.jpg"
"Python Crash Course", "Programming", 2019, "2nd", "Eric Matthes", "https://example.com/python_crash_course.jpg"
"Fluent Python", "Programming", 2020, "2nd", "Luciano Ramalho", "https://example.com/fluent_python.jpg"
"Effective Java", "Programming", 2018, "3rd", "Joshua Bloch", "https://example.com/effective_java.jpg"
"Structure and Interpretation of Computer Programs", "Programming", 2022, "2nd", "Harold Abelson", "https://example.com/sicp.jpg"
"Modern Operating Systems", "Operating Systems", 2023, "5th", "Andrew S. Tanenbaum", "https://example.com/modern_os.jpg"
"Operating System Concepts", "Operating Systems", 2021, "10th", "Abraham Silberschatz", "https://example.com/os_concepts.jpg"
"Computer Organization and Design", "Computer Architecture", 2021, "5th", "David A. Patterson", "https://example.com/comp_org_design.jpg"
"Cryptography and Network Security", "Cybersecurity", 2017, "6th", "William Stallings", "https://example.com/crypto_netsec.jpg"
"Introduction to Machine Learning", "AI", 2020, "4th", "Ethem Alpaydin", "https://example.com/ml_intro.jpg"
"Deep Learning", "AI", 2016, "1st", "Ian Goodfellow", "https://example.com/deep_learning.jpg"
"Reinforcement Learning: An Introduction", "AI", 2018, "2nd", "Richard S. Sutton", "https://example.com/rl_intro.jpg"
"Data Science from Scratch", "Data Science", 2019, "2nd", "Joel Grus", "https://example.com/data_science_scratch.jpg"
"Big Data: Principles and Paradigms", "Data Science", 2021, "1st", "Rajkumar Buyya", "https://example.com/big_data.jpg"
"Agile Software Development", "Software Engineering", 2015, "1st", "Robert C. Martin", "https://example.com/agile_dev.jpg"
"Software Engineering", "Software Engineering", 2020, "10th", "Ian Sommerville", "https://example.com/software_engineering.jpg"
